;;;;;;;;;;;;;Cores;Imagem-1(1024x1024);Imagem-2(2048x2048);Imagem-3(4096x4096);;Speed-up Ideal;Imagem-1(1024x1024);Imagem-2(2048x2048);Imagem-3(4096x4096);;Todos os resultados;Cores;Imagem-1(1024x1024);Imagem-2(2048x2048);Imagem-3(4096x4096);;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;12;92,879643;656,581763;4714,154505;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;16;76,274692;494,525003;3594,371366;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;16;75,247297;491,189597;3559,465473;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;16;74,911793;495,55377;3601,788937;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;16;74,553465;502,492256;3582,217177;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;16;73,995566;491,073606;3550,999137;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;16;75,165232;499,241475;3576,911516;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;16;75,035056;515,328246;3593,582864;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;16;71,189877;497,188856;3596,301952;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;16;73,219908;519,157627;3568,358401;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;16;74,944753;491,103412;3632,4148;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;20;62,772535;409,053289;3033,542895;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;20;59,638713;394,432346;2893,407343;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;20;59,219653;411,116871;2958,446624;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;20;59,850096;418,271275;3049,550793;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;20;63,230676;415,145025;2983,130895;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;20;60,846115;399,982883;2885,786231;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;20;60,579328;405,657376;2995,036068;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;20;62,437198;404,667258;3036,30952;;;;;;;;;;;
